"Image.Id.","Gene.Description"
53316,"malate dehydrogenase 1, NAD (soluble)"
898092,"connective tissue growth factor"
284882,"collagen, type II, alpha 1 (primary osteoarthritis, spondyloepiphyseal dysplasia, congenital)"
839991,"collagen, type I, alpha 2"
810632,"collagen, type VI, alpha 2"
773301,"cadherin 3, P-cadherin (placental)"
950096,"archain 1"
774754,"catenin (cadherin-associated protein), beta 1 (88kD)"
83605,"carbamoyl-phosphate synthetase 1, mitochondrial"
193913,"v-yes-1 Yamaguchi sarcoma viral related oncogene homolog"
343646,"v-ski avian sarcoma viral oncogene homolog"
725454,"CDC28 protein kinase 2"
128302,"parathymosin"
322617,"v-ral simian leukemia viral oncogene homolog B (ras related; GTP binding protein)"
267634,"v-raf-1 murine leukemia viral oncogene homolog 1"
760148,"uroporphyrinogen decarboxylase"
785845,"transcription factor 6-like 1 (mitochondrial transcription factor 1-like)"
109179,"Sp2 transcription factor"
897596,"ribosomal protein L5"
950710,"propionyl Coenzyme A carboxylase, alpha polypeptide"
297392,"metallothionein 1L"
366341,"ESTs, Weakly similar to HYPOTHETICAL UOG-1 PROTEIN [H.sapiens]"
275180,"KIAA0220 protein"
214816,"flavin containing monooxygenase 3"
137158,"ESTs"
141314,"ribosomal protein S25"
307532,"eukaryotic translation initiation factor 4A, isoform 2"
278501,"FYN oncogene related to SRC, FGR, YES"
324861,"epidermal growth factor receptor (avian erythroblastic leukemia viral (v-erb-b) oncogene homolog)"
809603,"ESTs, Weakly similar to cDNA EST EMBL:M89154 comes from this gene [C.elegans]"
341588,"ESTs, Moderately similar to TRANSLATION INITIATION FACTOR EIF-2B GAMMA SUBUNIT [R.norvegicus]"
251351,"Homo sapiens gene for polyhomeotic 1 homolog, partial cds, exon 15"
504452,"protoporphyrinogen oxidase"
357681,"cathepsin G"
323577,"solute carrier family 4, anion exchanger, member 2 (erythrocyte membrane protein band 3-like 1)"
272183,"flavin containing monooxygenase 4"
323474,"ADP-ribosylation factor 1"
810753,"ESTs, Weakly similar to predicted using Genefinder [C.elegans]"
66965,"aryl hydrocarbon receptor nuclear translocator"
809507,"CD63 antigen (melanoma 1 antigen)"
323603,"ESTs"
502977,"ligase III, DNA, ATP-dependent"
365826,"growth arrest-specific 1"
782193,"thioredoxin"
811585,"huntingtin (Huntington disease)"
302286,"wingless-type MMTV integration site family member 2"
488276,"oxytocin receptor"
810711,"cytochrome b-561"
745003,"zinc finger protein 76 (expressed in testis)"
782427,"ESTs"
795309,"superoxide dismutase 3, extracellular"
308746,"ESTs"
324383,"fibroblast growth factor 2 (basic)"
811166,"ESTs"
377731,"glutathione S-transferase M5"
855061,"vascular endothelial growth factor B"
250883,"ubiquitin-activating enzyme E1, like"
562115,"zinc finger protein 36 (KOX 18)"
236282,"Wiskott-Aldrich syndrome (ecezema-thrombocytopenia)"
486221,"voltage-dependent anion channel 1"
1020315,"vav 2 oncogene"
877827,"H.sapiens Uba80 mRNA for ubiquitin"
489519,"tissue inhibitor of metalloproteinase 3 (Sorsby fundus dystrophy, pseudoinflammatory)"
852520,"ubiquinol-cytochrome c reductase core protein II"
298062,"troponin T2, cardiac"
853368,"thymidylate synthetase"
433474,""
345553,"tetranectin (plasminogen-binding protein)"
884766,"testis enhanced gene transcript"
280735,"TATA box binding protein"
840708,"superoxide dismutase 2, mitochondrial"
53092,"putative L-type neutral amino acid transporter"
486175,"solute carrier family 16 (monocarboxylic acid transporters), member 1"
855395,"sterol carrier protein 2"
729964,"sphingomyelin phosphodiesterase 1, acid lysosomal (acid sphingomyelinase)"
856796,"spermidine synthase"
362483,"spectrin, beta, non-erythrocytic 1"
364510,"special AT-rich sequence binding protein 1 (binds to nuclear matrix/scaffold-associating DNA's)"
853151,"ribosomal protein S16"
857243,"ribosomal protein S13"
282956,"Sjogren syndrome antigen A1 (52kD, ribonucleoprotein autoantigen SS-A/Ro)"
250654,"secreted protein, acidic, cysteine-rich (osteonectin)"
377441,"S100 calcium-binding protein A3"
884842,"ribosomal protein L44"
361323,"regulator of G-protein signalling 1"
247103,"Rhesus blood group, D antigen"
745343,"regenerating islet-derived 1 alpha (pancreatic stone protein, pancreatic thread protein)"
855800,"prolyl endopeptidase"
383188,"recoverin"
431296,"protein phosphatase 3 (formerly 2B), catalytic subunit, alpha isoform (calcineurin A alpha)"
362926,"protein kinase, cAMP-dependent, catalytic, beta"
284001,"protein kinase C, mu"
NA,""
325641,"Human pregnancy-specific beta-glycoprotein e mRNA, complete cds"
586803,"placental growth factor, vascular endothelial growth factor-related protein"
289857,"EST, Highly similar to PHENYLETHANOLAMINE N-METHYLTRANSFERASE [H.sapiens]"
882459,"peptidylprolyl isomerase C (cyclophilin C)"
454475,"phosphorylase kinase, alpha 2 (liver), glycogen storage disease IX"
272529,"phosphomannomutase 2"
502499,"phosphomannomutase 1"
283315,"phosphoglycerate mutase 2 (muscle)"
897177,"phosphoglycerate mutase 1 (brain)"
756600,"peptidylprolyl isomerase B (cyclophilin B)"
878835,"Norrie disease (pseudoglioma)"
755750,"non-metastatic cells 2, protein (NM23B) expressed in"
452374,""
51373,"oligodendrocyte myelin glycoprotein"
769890,"nucleoside phosphorylase"
731648,"nuclear transcription factor Y, alpha"
769716,"neurofibromin 2 (bilateral acoustic neuroma)"
154790,"nerve growth factor receptor (TNFR superfamily, member 16)"
83444,"solute carrier family 10 (sodium/bile acid cotransporter family), member 1"
756502,"nudix (nucleoside diphosphate linked moiety X)-type motif 1"
362059,"laminin, alpha 3 (nicein (150kD), kalinin (165kD), BM600 (150kD), epilegrin)"
471642,"laminin, alpha 2 (merosin, congenital muscular dystrophy)"
884644,"laminin receptor 1 (67kD, ribosomal protein SA)"
853906,"major histocompatibility complex, class I, A"
345232,"lymphotoxin alpha (TNF superfamily, member 1)"
855910,"lectin, galactoside-binding, soluble, 3 (galectin 3)"
460487,"lactotransferrin"
855521,"keratin 18"
502355,"iron-responsive element binding protein 1"
296448,"insulin-like growth factor 2 (somatomedin A)"
435953,""
756405,"inhibitor of DNA binding 3, dominant negative helix-loop-helix protein"
145112,"intercellular adhesion molecule 1 (CD54), human rhinovirus receptor"
754406,"integrin, alpha M (complement component receptor 3, alpha; also known as CD11b (p170), macrophage antigen alpha polypeptide)"
377671,"integrin, alpha 7"
755402,"integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)"
45464,"adenylate kinase 2"
279970,"adenosine A2a receptor"
756490,"branched chain aminotransferase 2, mitochondrial"
755881,"ESTs"
343867,"allograft inflammatory factor 1"
40773,"guanine nucleotide binding protein (G protein), alpha z polypeptide"
309893,"nuclear receptor subfamily 4, group A, member 1"
725877,"Creatine transporter [human, brainstem/spinal cord, mRNA, 2283 nt]"
970591,"high-mobility group (nonhistone chromosomal) protein 1"
745116,"heme oxygenase (decycling) 2"
264556,"bone morphogenetic protein receptor, type II (serine/threonine kinase)"
502622,"ATP citrate lyase"
530139,"guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2"
842825,"G1 to S phase transition 1"
724932,"G protein-coupled receptor kinase 6"
855586,"nuclear receptor subfamily 3, group C, member 1"
586888,"general transcription factor IIE, polypeptide 2 (beta subunit, 34kD)"
878406,"glucosidase, beta; acid (includes glucosylceramidase)"
279790,"fragile X mental retardation 1"
39722,"H.sapiens ERCC2 gene, exons 1 & 2 (partial)"
884867,"eukaryotic translation initiation factor 5"
884894,"eukaryotic translation initiation factor 2, subunit 1 (alpha, 35kD )"
502367,"fibulin 1"
365515,"fibroblast growth factor 7 (keratinocyte growth factor)"
855755,"fibrillarin"
868380,"Fc fragment of IgG, low affinity IIa, receptor for (CD32)"
307660,"fatty acid binding protein 4, adipocyte"
530359,"farnesyltransferase, CAAX box, alpha"
845419,"Fanconi anemia, complementation group A"
742115,"dodecenoyl-Coenzyme A delta isomerase (3,2 trans-enoyl-Coenzyme A isomerase)"
361688,"dipeptidylpeptidase VI"
455128,"cyclin F"
759200,"deoxyhypusine synthase"
770880,"primase, polypeptide 2A (58kD)"
128493,"mutL (E. coli) homolog 1 (colon cancer, nonpolyposis type 2)"
68950,"cyclin E1"
769959,"collagen, type IV, alpha 2"
491692,"collagen, type IV, alpha 1"
624754,"core-binding factor, beta subunit"
436062,""
83549,"complement component 1, r subcomponent"
756556,"complement component 1 inhibitor (angioedema, hereditary)"
878280,"collapsin response mediator protein 1"
432651,""
366067,"cerebellar degeneration-related protein (62kD)"
809720,"centromere protein B (80kD)"
344759,"cleavage stimulation factor, 3' pre-RNA, subunit 1, 50kD"
264640,"clathrin, light polypeptide (Lcb)"
46367,"choline kinase"
415102,"cell division cycle 25C"
744417,"carnitine acetyltransferase"
858292,"cell division cycle 10 (homologous to CDC10 of S. cerevisiae)"
377461,"caveolin 1, caveolae protein, 22kD"
345538,"cathepsin L"
897164,"catenin (cadherin-associated protein), alpha 1 (102kD)"
377314,"casein kinase 2, alpha prime polypeptide"
745402,"casein kinase 1, alpha 1"
486787,"calponin 3, acidic"
949971,"activating transcription factor 4 (tax-responsive enhancer element B67)"
854760,"protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)"
882548,"calpain, small polypeptide"
325182,"cadherin 2, N-cadherin (neuronal)"
154472,"fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)"
740801,"branched chain keto acid dehydrogenase E1, alpha polypeptide (maple syrup urine disease)"
797048,"bone morphogenetic protein 4"
25517,"biotinidase"
756533,"basigin"
298268,"B-cell translocation gene 1, anti-proliferative"
724831,"B-cell CLL/lymphoma 7b"
360778,"ataxia telangiectasia mutated (includes complementation groups A, C and D)"
183440,"arylsulfatase A"
841221,"argininosuccinate lyase"
786680,"annexin A5"
853687,"amylo-1,6-glucosidase, 4-alpha-glucanotransferase (glycogen debranching enzyme, glycogen storage disease type III)"
795321,"Human mRNA for alpha mannosidase II isozyme, complete cds"
491727,"alkaline phosphatase, placental (Regan isozyme)"
192569,"adaptin, beta 1 (beta prime)"
377252,"adenosine A2b receptor"
772304,"adenine nucleotide translocator 2 (fibroblast)"
796323,"adducin 3 (gamma)"
384078,""
266312,"ATPase, Cu++ transporting, beta polypeptide (Wilson disease)"
868304,"actin, alpha 2, smooth muscle, aorta"
70332,"acid phosphatase 2, lysosomal"
322914,"acid phosphatase 1, soluble"
823982,"zinc finger protein 173"
756549,"glucosidase, alpha; acid (Pompe disease, glycogen storage disease type II)"
49318,"AXL receptor tyrosine kinase"
856650,"ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit"
41607,"von Hippel-Lindau syndrome"
86160,"partner of Ral-binding protein 1"
825312,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F6"
814353,"phorbol-12-myristate-13-acetate-induced protein 1"
740907,"APEX nuclease (multifunctional DNA repair enzyme)"
85643,"antithrombin III"
236034,"uncoupling protein 2 (mitochondrial, proton carrier)"
49410,"catalase"
309288,"replication factor C (activator 1) 4 (37kD)"
884546,"ribosomal protein L6"
295551,"polymerase (RNA) II (DNA directed) polypeptide B (140kD)"
882510,"karyopherin alpha 2 (RAG cohort 1, importin alpha 1)"
277660,"neural precursor cell expressed, developmentally down-regulated 8"
108377,"tubulin, gamma polypeptide"
490947,"transcription elongation factor B (SIII), polypeptide 1-like"
431803,"small nuclear ribonucleoprotein polypeptide E"
840753,"small inducible cytokine A5 (RANTES)"
223176,"ESTs"
82131,"proteasome (prosome, macropain) subunit, beta type, 1"
949939,"phosphoglycerate kinase 1"
300051,"myosin, light polypeptide 2, regulatory, cardiac, slow"
626358,"ESTs, Moderately similar to poly(ADP-ribose) polymerase [H.sapiens]"
141972,"integral membrane protein 1"
269381,"zinc finger protein 148 (pHZ-52)"
287125,"Human glucocorticoid receptor alpha mRNA, variant 3' UTR"
745496,"FK506-binding protein 1A (12kD)"
27516,"calcium modulating ligand"
33294,"ESTs"
781506,"ESTs"
366945,"spleen focus forming virus (SFFV) proviral integration oncogene spi1"
73527,"colony stimulating factor 1 (macrophage)"
788205,"SRY (sex determining region Y)-box 4"
814266,"protein kinase C, zeta"
626206,"polymerase (DNA directed), gamma"
298965,"cytochrome c oxidase subunit VIb"
75644,"tenascin XA"
627306,"crystallin, beta B2"
768377,"KIAA0784 protein"
432050,"wee1+ (S. pombe) homolog"
25807,"ESTs"
197657,"aldehyde dehydrogenase 5"
82297,"heat shock 70kD protein 2"
505881,"adenosine deaminase"
809910,"interferon-inducible"
741988,"aminoacylase 1"
744940,"serine protease inhibitor, Kazal type, 2 (acrosin-trypsin inhibitor)"
857681,"ribosomal protein L24"
868308,"ribosomal protein S23"
248295,"cyclin I"
627533,"chromobox homolog 5 (Drosophila HP1 alpha)"
858293,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide"
971367,"ribosomal protein S8"
1469292,"pim-2 oncogene"
1470048,"lymphocyte antigen 6 complex, locus E"
738900,"MUF1 protein"
767495,"GLI-Kruppel family member GLI3 (Greig cephalopolysyndactyly syndrome)"
813637,"dynein, axonemal, heavy polypeptide 17-like"
823574,"endosulfine alpha"
35318,"heat shock protein, DNAJ-like 2"
1469230,"cytochrome c oxidase subunit VIII"
1435300,"motor protein"
1493383,"cold inducible RNA-binding protein"
1493390,"interleukin enhancer binding factor 2, 45kD"
1475797,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1"
1476065,"leukemia-associated phosphoprotein p18 (stathmin)"
1323448,"cysteine-rich protein 1 (intestinal)"
1472719,"SMT3 (suppressor of mif two 3, yeast) homolog 1"
1472735,"metallothionein 1E (functional)"
1325816,"polymerase (RNA) II (DNA directed) polypeptide L (7.6kD)"
1455976,"interferon-inducible"
1455641,"proteasome (prosome, macropain) subunit, alpha type, 7"
1456900,"dipeptidase 1 (renal)"
1472643,"ribosomal protein S15a"
1472698,"ESTs"
1468310,"tubby like protein 2"
1461737,"cardiotrophin 1"
1472775,"collagen, type VIII, alpha 1"
1492104,"tubulin, beta, 2"
1492304,"nucleolar protein (KKE/D repeat)"
1473274,"myosin regulatory light chain 2, smooth muscle isoform"
1461104,"phospholipase A2, group IB (pancreas)"
1461138,"H4 histone family, member G"
1434905,"homeo box B7"
1435003,"tumor suppressing subtransferable candidate 1"
1468461,"annexin A13"
1473131,"transducin-like enhancer of split 2, homolog of Drosophila E(sp1)"
1434948,"Human Tat-SF1 mRNA, complete cds"
162533,"ESTs, Highly similar to breast tumor autoantigen [H.sapiens]"
1474955,"TATA box binding protein (TBP)-associated factor, RNA polymerase II, N, 68kD (RNA-binding protein 56)"
123916,"dystrophia myotonica-containing WD repeat motif"
291756,"tubulin, beta, 5"
769552,"BB1"
725649,"nuclear factor of activated T-cells, cytoplasmic 4"
263894,"quinolinate phosphoribosyltransferase (nicotinate-nucleotide pyrophosphorylase (carboxylating))"
266720,"3-phosphoinositide dependent protein kinase-1"
271102,"copper chaperone for superoxide dismutase"
288796,"BCL2/adenovirus E1B 19kD-interacting protein 2"
289645,"amyloid beta (A4) precursor-like protein 1"
290378,"podocalyxin-like"
1359579,""
378502,""
431397,""
462595,""
448432,""
451706,""
453689,""
454896,"cell cycle progression 3 protein"
731257,"UNC13 (C. elegans)-like"
757165,"transcription factor-like 1"
487348,"dynamin-like protein"
1404396,"phospholipase C, beta 3 (phosphatidylinositol-specific)"
489553,"estrogen-related receptor alpha"
1048985,""
1391682,""
1393018,"general transcription factor IIIC, polypeptide 1 (alpha subunit, 220kD )"
844768,""
244146,"apoptotic protease activating factor"
896949,""
271748,"RNA binding motif, single stranded interacting protein 1"
120108,"period (Drosophila) homolog 1"
858469,""
1422723,"interferon-induced protein 35"
187614,"MAD (mothers against decapentaplegic, Drosophila) homolog 1"
810806,"CDC37 (cell division cycle 37, S. cerevisiae, homolog)"
195751,"A kinase (PRKA) anchor protein 7"
214006,"ESTs"
239611,"hemoglobin, epsilon 1"
240651,"ubiquitously transcribed tetratricopeptide repeat gene, X chromosome"
154600,"phospholipase C, delta 1"
183602,"keratin 14 (epidermolysis bullosa simplex, Dowling-Meara, Koebner)"
236263,""
725672,"similar to beta-transducin superfamily proteins"
172751,"amyloid beta (A4) precursor protein-binding, family A, member 1 (X11)"
362278,"STAT induced STAT inhibitor 3"
395708,""
132144,"transcription factor 17"
298612,"KIAA0432 gene product"
306358,"KIAA0111 gene product"
324885,"chromosome 11 open reading frame 4"
756401,"Ras homolog enriched in brain 2"
810959,"Rho GDP dissociation inhibitor (GDI) alpha"
811161,"ATP-binding cassette 50 (TNF-alpha stimulated)"
267725,"Homo sapiens BC-2 protein mRNA, complete cds"
291216,"caltractin (20kD calcium-binding protein)"
259579,"RAD51 (S. cerevisiae)-like 3"
259973,"chorionic gonadotropin, beta polypeptide"
385003,""
379708,""
344272,"epithelial membrane protein 3"
345077,"Fas-activated serine/threonine kinase"
377468,"sprouty (Drosophila) homolog 1 (antagonist of FGF signaling)"
378488,""
379309,""
399049,""
448386,""
432194,"U5 snRNP-specific protein (220 kD), ortholog of S. cerevisiae Prp8p"
436106,""
399532,""
436155,""
450152,""
450949,""
453107,""
453183,""
451098,""
450711,""
450777,""
451855,""
451907,""
452780,""
454333,"CD5 antigen-like (scavenger receptor cysteine rich family)"
487296,"matrix metalloproteinase 11 (stromelysin 3)"
489535,"neuropilin 1"
491001,"glyoxalase I"
461327,""
415978,"carnitine palmitoyltransferase I, liver"
471742,"breakpoint cluster region protein, uterine leiomyoma, 1; barrier to autointegration factor"
486607,"ubiquitin-conjugating enzyme E2E 1 (homologous to yeast UBC4/5)"
486186,"poly(A)-binding protein-2"
487761,"transcription factor CA150"
878130,""
431501,"acyl-Coenzyme A oxidase 3, pristanoyl"
506032,""
506548,""
1292432,""
1358393,"mitogen-activated protein kinase kinase 3"
878545,""
878798,"beta-2-microglobulin"
878676,""
878681,""
50887,"ESTs"
700721,"minichromosome maintenance deficient (S. cerevisiae) 5 (cell division cycle 46)"
1456118,"proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional protease 2)"
1472753,"eukaryotic translation initiation factor 4B"
1473788,"TNFRSF1A-associated via death domain"
1474684,"ephrin-A1"
684655,"proteasome (prosome, macropain) 26S subunit, ATPase, 2"
814961,"ubiquitin specific protease 5 (isopeptidase T)"
824025,"Homo sapiens clone 25109 mRNA sequence"
825411,"N-acetylglucosamine receptor 1 (thyroid)"
502141,"NADH dehydrogenase (ubiquinone) Fe-S protein 8 (23kD) (NADH-coenzyme Q reductase)"
814444,"cofactor required for Sp1 transcriptional activation, subunit 9 (33kD)"
814773,"putative tumor suppressor"
815794,"nucleobindin 2"
713263,"prepronociceptin"
746232,"KIAA0737 gene product"
813983,"COP9 (constitutive photomorphogenic, Arabidopsis, homolog) subunit 3"
814086,"U3 snoRNP-associated 55-kDa protein"
814287,"X-ray repair complementing defective repair in Chinese hamster cells 3"
815861,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 3"
824552,"ESTs"
825740,"deoxynucleotidyltransferase, terminal"
897720,"trophinin"
265102,"abl-interactor 12 (SH3-containing protein)"
897767,"prp28, U5 snRNP 100 kd protein"
897978,"DiGeorge syndrome critical region gene 2"
279378,"Homo sapiens mRNA for synaptogyrin 3"
814080,"histone deacetylase 1"
855391,"sterile 20 (oxidant stress response kinase 1; yeast Sps1/Ste20-related kinase 1)"
586650,"solute carrier family 29 (nucleoside transporters), member 1"
280934,"mevalonate (diphospho) decarboxylase"
154651,"Human pre-T/NK cell associated protein (3B3) mRNA, 3' end"
768644,"zona pellucida glycoprotein 3A (sperm receptor)"
811013,"Human AMP deaminase isoform L (AMPD2) mRNA, exons 6-18, partial cds"
214965,"gamma-glutamyltransferase 1"
511850,"proteasome (prosome, macropain) 26S subunit, ATPase, 1"
774078,"thyroid and eye muscle autoantigen D1 (64kD)"
207274,"Human DNA for insulin-like growth factor II (IGF-2); exon 7 and additional ORF"
37553,"protein phosphatase 2A, regulatory subunit B' (PR 53)"
502055,"arylsulfatase B"
489506,"protein S (alpha)"
878815,"ADP-ribosylation factor 3"
503841,"parathyroid hormone-like hormone"
23353,"ESTs"
283034,"ADP-ribosylation factor-like 1"
430614,"2,3-bisphosphoglycerate mutase"
32493,"integrin, alpha 6"
884743,"ADP-ribosylation factor 5"
853570,"adenine nucleotide translocator 3 (liver)"
796388,"general transcription factor IIIA"
796613,"collagen, type V, alpha 2"
882522,"argininosuccinate synthetase"
843398,"ESTs"
897768,"collagen, type VII, alpha 1 (epidermolysis bullosa, dystrophic, dominant and recessive)"
665674,"bradykinin receptor B2"
753157,"glutamine-fructose-6-phosphate transaminase 1"
754649,"chromosome 14 open reading frame 3"
812033,"glypican 1"
1323203,"ATPase, H+ transporting, lysosomal (vacuolar proton pump), beta polypeptide, 56/58kD, isoform 2"
1411726,"ribosomal protein S28"
1475633,"annexin A6"
1475595,"alkaline phosphatase, liver/bone/kidney"
1476053,"RAD51 (S. cerevisiae) homolog (E coli RecA homolog)"
1323432,"Homo sapiens iduronate-2-sulfatase (IDS) mRNA, complete cds"
1493527,"asparagine synthetase"
1493175,"galactosidase, beta 1"
1471829,"ribosomal protein L35a"
1472150,"ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (oligomycin sensitivity conferring protein)"
1492147,"ribosomal protein S4, X-linked"
1492412,"ubiquitin A-52 residue ribosomal protein fusion product 1"
1412412,"elastase 1, pancreatic"
1412503,"carboxypeptidase A1 (pancreatic)"
1416782,"creatine kinase, brain"
1435862,"antigen identified by monoclonal antibodies 12E7, F21 and O13"
1473289,"protective protein for beta-galactosidase (galactosialidosis)"
1486260,"NADH dehydrogenase (ubiquinone) flavoprotein 2 (24kD)"
245979,"erythrocyte membrane protein band 4.9 (dematin)"
248631,"aminomethyltransferase (glycine cleavage system protein T)"
1435339,"mucin 2, intestinal/tracheal"
392622,""
280507,"hypoxanthine phosphoribosyltransferase 1 (Lesch-Nyhan syndrome)"
384851,""
461425,""
1358266,"POU domain, class 2, transcription factor 2"
1404995,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 2"
1344137,""
25499,"ubiquinol-cytochrome c reductase hinge protein"
141818,"small nuclear ribonucleoprotein polypeptide A"
810445,"valyl-tRNA synthetase 2"
289978,"Protein GDX"
51328,"cell division cycle 34"
66686,"ribosomal protein L10"
754085,"general transcription factor IIF, polypeptide 2 (30kD subunit)"
210687,"angiotensin receptor 1"
357031,"tumor necrosis factor, alpha-induced protein 6"
768370,"tissue inhibitor of metalloproteinase 3 (Sorsby fundus dystrophy, pseudoinflammatory)"
136821,"transforming growth factor, beta 1"
724588,"interferon-stimulated transcription factor 3, gamma (48kD)"
771220,"v-rel avian reticuloendotheliosis viral oncogene homolog A (nuclear factor of kappa light polypeptide gene enhancer in B-cells 3 (p65))"
47542,"small nuclear ribonucleoprotein D1 polypeptide (16kD)"
45544,"transgelin 2"
163174,"transcription elongation factor A (SII), 1"
36393,"acetyl-Coenzyme A acetyltransferase 2 (acetoacetyl Coenzyme A thiolase)"
823886,"Smooth muscle myosin heavy chain isoform SMemb [human, umbilical cord, fetal aorta, mRNA Partial, 971 nt]"
49591,"steroid sulfatase (microsomal), arylsulfatase C, isozyme S"
230261,"v-ral simian leukemia viral oncogene homolog A (ras related)"
47559,"RAB5A, member RAS oncogene family"
182661,"activin A receptor type II-like 1"
39798,"serine hydroxymethyltransferase 1 (soluble)"
214133,"female sterile homeotic-related gene 1 (mouse homolog)"
263097,"ribose 5-phosphate isomerase A (ribose 5-phosphate epimerase)"
280752,"retinoblastoma-like 2 (p130)"
509495,"proteasome (prosome, macropain) subunit, alpha type, 6"
68977,"proteasome (prosome, macropain) subunit, beta type, 10"
207082,"glucosamine-6-phosphate deaminase"
795498,"putative transmembrane protein"
770027,"Human protein phosphatase 2A regulatory subunit alpha-isotype (alpha-PR65) mRNA, complete cds"
769657,"protein phosphatase 1, regulatory (inhibitor) subunit 2"
725473,"type II integral membrane protein"
345430,"phosphoinositide-3-kinase, catalytic, alpha polypeptide"
813444,"benzodiazapine receptor (peripheral)"
